"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Bicep Curl (Dumbbell)",,"",0,"normal",80,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Bicep Curl (Dumbbell)",,"",1,"normal",90,6,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Bicep Curl (Dumbbell)",,"",2,"normal",80,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Hammer Curl (Dumbbell)",,"",0,"normal",70,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Hammer Curl (Dumbbell)",,"",1,"normal",80,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Hammer Curl (Dumbbell)",,"",2,"normal",90,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Concentration Curl",,"",0,"normal",50,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Concentration Curl",,"",1,"normal",50,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Concentration Curl",,"",2,"normal",50,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Shrug (Dumbbell)",,"",0,"normal",160,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Shrug (Dumbbell)",,"",1,"normal",160,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Shrug (Dumbbell)",,"",2,"normal",160,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Rear Delt Reverse Fly (Cable)",,"",0,"normal",40,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Rear Delt Reverse Fly (Cable)",,"",1,"normal",40,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Rear Delt Reverse Fly (Cable)",,"",2,"normal",40,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Reverse Curl (Barbell)",,"",0,"normal",45,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Reverse Curl (Barbell)",,"",1,"normal",45,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Reverse Curl (Barbell)",,"",2,"normal",45,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Incline Bench Press (Barbell)",,"",0,"normal",135,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Incline Bench Press (Barbell)",,"",1,"normal",185,5,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Incline Bench Press (Barbell)",,"",2,"normal",185,5,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Incline Bench Press (Barbell)",,"",3,"normal",185,4,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Overhead Press (Dumbbell)",,"",0,"normal",120,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Overhead Press (Dumbbell)",,"",1,"normal",130,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Overhead Press (Dumbbell)",,"",2,"normal",130,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Single Arm Landmine Press (Barbell)",,"",0,"normal",90,10,,,
